Crop,Year,Production,Area,Yield
Total Foodgrains,2006,158.8,128.5,123.6
Total Foodgrains,2007,168.6,128.8,130.9
Total Foodgrains,2008,171.3,127.6,134.3
Total Foodgrains,2009,159.4,126.0,126.5
Total Foodgrains,2010,178.9,131.7,135.9
Rice,2006,200.8,168.5,119.2
Rice,2007,207.9,168.9,123.1
Rice,2008,213.3,175.1,121.8
Rice,2009,191.6,161.2,118.9
Rice,2010,206.4,164.8,125.2
Wheat,2006,131.6,115.0,114.4
Wheat,2007,136.4,115.2,118.4
Wheat,2008,140.1,114.0,122.8
Wheat,2009,140.3,116.9,120.0
Wheat,2010,150.8,119.5,126.3
Jowar,2006,124.3,120.7,103.0
Jowar,2007,137.8,110.6,124.6
Jowar,2008,126.0,107.3,117.4
Jowar,2009,116.5,111.0,105.0
Jowar,2010,121.8,105.2,115.8
Bajra,2006,136.4,94.5,144.3
Bajra,2007,161.5,95.1,169.7
Bajra,2008,143.9,87.0,165.4
Bajra,2009,105.4,88.5,119.0
Bajra,2010,167.9,95.6,175.8
Maize,2006,198.8,156.1,127.3
Maize,2007,249.6,160.5,155.5
Maize,2008,259.8,161.6,160.7
Maize,2009,220.1,163.4,134.7
Maize,2010,286.0,169.1,169.1
Ragi,2006,56.1,60.2,93.2
Ragi,2007,83.6,70.9,117.9
Ragi,2008,79.3,70.6,112.2
Ragi,2009,73.4,64.8,113.2
Ragi,2010,85.2,65.8,129.6
Small millets,2006,53.9,50.9,106.0
Small millets,2007,61.9,52.3,118.3
Small millets,2008,50.0,45.6,109.7
Small millets,2009,42.9,41.8,102.7
Small millets,2010,82.0,45.0,182.4
Barley,2006,88.1,72.8,121.0
Barley,2007,79.3,67.9,116.9
Barley,2008,112.0,79.5,141.0
Barley,2009,89.9,70.2,127.9
Barley,2010,110.3,79.4,138.9
Coarse Cereals,2006,138.5,106.4,130.1
Coarse Cereals,2007,166.4,105.6,157.6
Coarse Cereals,2008,163.5,101.8,160.7
Coarse Cereals,2009,137.0,102.6,133.5
Coarse Cereals,2010,178.4,105.4,169.2
Cereals,2006,164.1,130.0,126.3
Cereals,2007,174.6,129.9,134.4
Cereals,2008,177.7,130.3,136.4
Cereals,2009,164.4,126.8,129.7
Cereals,2010,183.1,129.8,141.1
Gram,2006,140.6,122.3,115.0
Gram,2007,127.6,123.1,103.7
Gram,2008,156.5,128.8,121.7
Gram,2009,165.9,133.3,124.5
Gram,2010,182.5,149.9,121.7
Arhar,2006,97.0,99.7,97.3
Arhar,2007,128.9,104.3,123.6
Arhar,2008,94.9,94.5,100.4
Arhar,2009,103.3,97.0,106.5
Arhar,2010,119.9,122.2,98.1
Other Pulses,2006,139.1,131.3,105.9
Other Pulses,2007,148.9,133.8,111.3
Other Pulses,2008,131.4,117.1,112.2
Other Pulses,2009,118.4,126.1,93.9
Other Pulses,2010,179.5,139.1,129.0
Total Pulses,2006,130.3,122.1,106.7
Total Pulses,2007,135.4,124.4,108.8
Total Pulses,2008,133.7,116.3,114.9
Total Pulses,2009,134.5,122.6,109.7
Total Pulses,2010,167.4,139.0,120.4
Total Non-Food grains,2006,155.4,126.6,122.8
Total Non-Food grains,2007,156.8,128.6,122.0
Total Non-Food grains,2008,141.2,131.5,107.4
Total Non-Food grains,2009,143.2,126.7,113.1
Total Non-Food grains,2010,168.4,136.5,123.4
Total Oilseeds,2006,148.2,124.8,118.7
Total Oilseeds,2007,150.9,126.2,119.6
Total Oilseeds,2008,140.8,129.0,109.1
Total Oilseeds,2009,135.9,126.1,107.8
Total Oilseeds,2010,169.0,134.0,126.1
Groundnut,2006,115.2,124.1,92.8
Groundnut,2007,217.5,139.1,156.3
Groundnut,2008,169.8,136.3,124.6
Groundnut,2009,128.6,121.1,106.2
Groundnut,2010,195.7,129.5,151.2
Sesamum,2006,95.5,74.2,128.7
Sesamum,2007,116.8,78.4,149.1
Sesamum,2008,98.8,78.8,125.4
Sesamum,2009,90.8,84.6,107.4
Sesamum,2010,137.9,90.7,151.9
Rapeseed &Mustard,2006,138.7,107.0,129.6
Rapeseed &Mustard,2007,108.8,91.8,118.5
Rapeseed &Mustard,2008,134.3,99.3,135.2
Rapeseed &Mustard,2009,123.2,88.1,139.9
Rapeseed &Mustard,2010,152.5,108.8,140.2
Linseed,2006,55.9,47.9,116.8
Linseed,2007,54.4,51.3,106.1
Linseed,2008,56.4,44.8,126.0
Linseed,2009,51.2,37.5,136.5
Linseed,2010,48.8,39.4,123.9
Castor seed,2006,124.7,91.7,136.0
Castor seed,2007,172.3,114.8,150.1
Castor seed,2008,191.6,126.4,151.5
Castor seed,2009,165.0,107.2,153.9
Castor seed,2010,220.9,128.5,171.9
Safflower,2006,67.3,55.8,120.6
Safflower,2007,62.8,47.4,132.6
Safflower,2008,53.0,43.6,121.5
Safflower,2009,50.1,42.6,117.5
Safflower,2010,42.1,36.1,116.7
Niger seed,2006,65.1,75.7,86.0
Niger seed,2007,59.0,65.8,89.6
Niger seed,2008,63.0,63.5,99.2
Niger seed,2009,53.8,60.6,88.8
Niger seed,2010,58.0,59.9,96.9
Sunflower,2006,161.3,175.0,92.2
Sunflower,2007,192.3,154.5,124.5
Sunflower,2008,152.2,146.5,103.9
Sunflower,2009,111.8,119.3,93.7
Sunflower,2010,85.6,75.1,114.0
Soyabean,2006,253.2,222.7,113.7
Soyabean,2007,313.8,237.5,132.1
Soyabean,2008,283.4,254.5,111.4
Soyabean,2009,285.1,260.3,109.5
